folder_id,interrupt,SUQ,BSMARS,META_CC,META_POS,META_CSC,META_NEG,META_NC,ENGAGE
101,rest,4.5,15.0,14.0,21.0,16.0,15.0,8.0,5
102,rest,4.9,6.0,10.0,15.0,20.0,11.0,9.0,3
103,rest,1.9,9.0,11.0,12.0,16.0,11.0,11.0,4
104,rest,3.6,8.0,9.0,12.0,12.0,11.0,12.0,5
105,rest,4.4,8.0,11.0,11.0,11.0,7.0,6.0,1
106,rest,4.3,13.0,9.0,11.0,13.0,7.0,8.0,3
107,rest,2.1,5.0,11.0,8.0,14.0,8.0,9.0,3
108,rest,6.1,17.0,9.0,9.0,20.0,20.0,17.0,5
109,rest,3.6,5.0,15.0,17.0,16.0,17.0,10.0,1
110,rest,4.7,11.0,18.0,15.0,20.0,15.0,12.0,4
111,rest,3.8,6.0,7.0,5.0,14.0,11.0,12.0,1
112,rest,4.2,14.0,12.0,14.0,12.0,18.0,17.0,4
113,rest,3.9,18.0,17.0,16.0,14.0,17.0,10.0,4
114,rest,1.6,8.0,11.0,8.0,21.0,18.0,15.0,3
115,rest,3.4,7.0,10.0,6.0,24.0,11.0,14.0,1
201,tiktok,5.5,15.0,20.0,15.0,16.0,20.0,13.0,2
202,tiktok,6.8,16.0,17.0,21.0,11.0,23.0,19.0,3
203,tiktok,5.4,17.0,13.0,7.0,13.0,11.0,7.0,3
204,tiktok,4.8,12.0,12.0,11.0,17.0,16.0,8.0,2
205,tiktok,3.8,11.0,16.0,18.0,24.0,17.0,11.0,5
206,tiktok,4.0,10.0,7.0,13.0,13.0,12.0,9.0,4
207,tiktok,4.9,12.0,8.0,14.0,17.0,13.0,10.0,4
208,tiktok,4.5,7.0,16.0,14.0,19.0,16.0,8.0,4
209,tiktok,4.8,16.0,10.0,8.0,8.0,10.0,12.0,3
210,tiktok,4.1,5.0,8.0,6.0,15.0,9.0,12.0,4
211,tiktok,6.2,17.0,11.0,17.0,21.0,22.0,13.0,5
212,tiktok,3.9,11.0,14.0,15.0,17.0,16.0,12.0,4
213,tiktok,5.0,13.0,11.0,10.0,14.0,19.0,12.0,4
214,tiktok,4.0,10.0,8.0,6.0,12.0,13.0,6.0,2
215,tiktok,3.6,9.0,9.0,11.0,18.0,7.0,6.0,2
301,youtube,4.0,7.0,9.0,22.0,19.0,7.0,12.0,5
302,youtube,4.8,12.0,12.0,10.0,15.0,10.0,12.0,4
303,youtube,3.7,14.0,11.0,12.0,16.0,16.0,12.0,3
304,youtube,2.2,9.0,7.0,15.0,24.0,12.0,13.0,4
305,youtube,5.2,16.0,16.0,15.0,12.0,15.0,13.0,5
306,youtube,6.2,17.0,16.0,11.0,15.0,22.0,18.0,5
307,youtube,3.8,8.0,9.0,14.0,14.0,6.0,7.0,5
308,youtube,4.0,11.0,8.0,8.0,11.0,11.0,10.0,5
309,youtube,4.9,9.0,17.0,12.0,17.0,9.0,10.0,5
310,youtube,2.9,12.0,22.0,19.0,23.0,24.0,16.0,5
311,youtube,5.6,8.0,18.0,16.0,17.0,19.0,16.0,3
312,youtube,5.2,16.0,17.0,16.0,13.0,17.0,13.0,4
313,youtube,6.1,12.0,13.0,11.0,19.0,15.0,15.0,3
314,youtube,4.2,11.0,6.0,6.0,16.0,6.0,14.0,2
315,youtube,4.2,17.0,12.0,9.0,23.0,14.0,11.0,5
401,twitter,4.9,10.0,15.0,13.0,19.0,9.0,6.0,4
402,twitter,5.6,7.0,7.0,13.0,17.0,7.0,8.0,4
403,twitter,4.5,12.0,9.0,18.0,19.0,13.0,11.0,4
404,twitter,6.0,10.0,10.0,21.0,24.0,18.0,19.0,5
405,twitter,4.7,12.0,9.0,6.0,13.0,14.0,6.0,2
406,twitter,4.6,8.0,8.0,6.0,18.0,9.0,13.0,3
407,twitter,3.2,10.0,6.0,12.0,24.0,19.0,16.0,1
408,twitter,3.5,9.0,12.0,8.0,14.0,14.0,11.0,4
409,twitter,3.9,8.0,13.0,16.0,21.0,14.0,10.0,4
410,twitter,4.3,12.0,12.0,7.0,22.0,15.0,7.0,3
411,twitter,4.1,14.0,14.0,11.0,20.0,11.0,12.0,2
412,twitter,4.8,7.0,12.0,10.0,14.0,15.0,9.0,2
413,twitter,6.2,16.0,12.0,20.0,17.0,19.0,15.0,4
414,twitter,4.0,15.0,15.0,11.0,13.0,8.0,15.0,3
415,twitter,3.2,14.0,14.0,11.0,12.0,10.0,11.0,3
